Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","22pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.240000,-133.350000,90.000000,top
"C2","22pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.240000,-136.906000,270.000000,top
"C3","33uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",123.571000,-137.160000,90.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.571000,-140.970000,180.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.433000,-131.191000,0.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.433000,-122.174000,0.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.365000,-122.809000,270.000000,top
"C8","47uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",130.238500,-122.491500,180.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.574000,-127.254000,0.000000,top
"D1","D_ALT","D_SMA",120.015000,-136.271000,90.000000,top
"Q2","BSS138","SOT-23",146.050000,-123.063000,270.000000,top
"Q3","BSS138","SOT-23",149.606000,-123.063000,270.000000,top
"Q4","BSS138","SOT-23",153.162000,-123.063000,270.000000,top
"Q5","BSS138","SOT-23",156.718000,-123.063000,270.000000,top
"R1","2.2K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.190000,-128.383000,90.000000,top
"R2","2.2K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.190000,-117.475000,0.000000,top
"R3","120","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.132000,-135.128000,270.000000,top
"R4","120","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.132000,-125.984000,270.000000,top
"R5","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.734000,-130.048000,90.000000,top
"R6","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.510000,-138.811000,0.000000,top
"R7","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.923000,-120.396000,180.000000,top
"R8","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.563666,-120.396000,180.000000,top
"R11","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.923000,-125.730000,0.000000,top
"R12","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",149.563666,-125.730000,0.000000,top
"R13","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.204332,-120.396000,180.000000,top
"R14","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",156.845000,-120.396000,180.000000,top
"R15","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",153.204332,-125.730000,0.000000,top
"R16","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",156.845000,-125.730000,0.000000,top
"U1","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",149.860000,-134.112000,0.000000,top
"U2","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",162.560000,-135.128000,0.000000,top
"U3","TJA1042T","SOIC-8_3.9x4.9mm_P1.27mm",162.560000,-125.984000,0.000000,top
"U6","LM7805_TO220","TO-252-2",129.159000,-130.302000,90.000000,top
