Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22pF,C1653
"C10, C4, C5, C6, C7, C9",0603,6,100nF,C14663
C3,CP_Radial_D4.0mm_P2.00mm,1,330nF,
C8,CP_Radial_D4.0mm_P2.00mm,1,100nF,
D1,D_SMA,1,US1A,C95872
J1,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,1,Conn_01x06_Male,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J3,DS3231_BatteryHolder,1,Conn_01x02_Pin,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_2_Open,
JP5,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_3_Open,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,C112239
"R1, R11, R12, R13, R14, R15, R16, R2, R5, R6, R7, R8",0603,12,10K,C25804
"R10, R9",0603,2,4.7K,C25999
"R3, R4",0603,2,120,
U1,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,C12368
"U2, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2551-I-SN,C49558
U3,StepDown_MP1584_shield,1,~,
U5,ESP32_shield,1,ESP32,
U6,TO-252-2,1,L7805,
U7,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
