Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22pF,C1653
"C3, C4, C5, C6",0603,4,100nF,C14663
C7,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C8,CP_Radial_D6.3mm_P2.50mm,1,220uF,
D1,D_SMA,1,SS34,C7420365
J1,DS3231_BatteryHolder,1,Conn_01x02_Pin,
J2,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,1,Conn_01x06_Male,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_2_Open,
L1,L_12x12mm_H8mm,1,47uh,C167265
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,C112239
"R1, R2",0603,2,4.7K,C25999
"R10, R9",0603,2,120,
"R11, R12, R13, R14, R3, R4, R5, R6, R7, R8",0603,10,10K,C25804
U1,ESP32_c3_supermini,1,~,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U3,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,C12368
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1042T,C6952
U6,TO-263-5_TabPin3,1,LM2596S-5,C347421
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
