Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0284,-121.666,0.0,top
C2,136.4724,-121.666,180.0,top
C3,134.9648,-149.881,90.0,top
C4,134.034,-135.8392,180.0,top
C5,124.8776,-123.9774,0.0,top
C6,124.8126,-131.5466,0.0,top
C7,141.1478,-153.8078,90.0,top
C8,175.0,-145.2626,180.0,top
D1,159.9946,-153.8986,0.0,top
J1,124.9474,-141.4161,0.0,top
J2,117.5575,-147.574,90.0,top
L1,163.2966,-145.2626,180.0,top
Q1,149.7561,-121.1216,0.0,top
Q2,149.7561,-124.7216,0.0,top
Q3,149.7561,-128.3716,0.0,top
Q4,149.7561,-131.9966,0.0,top
R1,132.3848,-148.971,180.0,top
R10,119.8088,-126.4666,180.0,top
R11,152.4811,-128.3659,90.0,top
R12,152.4811,-132.0066,90.0,top
R13,147.0311,-128.3659,270.0,top
R14,147.0311,-132.0066,270.0,top
R2,143.5354,-144.272,270.0,top
R3,131.367,-133.35,270.0,top
R4,131.4432,-125.1966,90.0,top
R5,152.4811,-121.0591,90.0,top
R6,152.4811,-124.7253,90.0,top
R7,147.0311,-121.0716,270.0,top
R8,147.0311,-124.7253,270.0,top
R9,119.7284,-119.6202,180.0,top
U1,167.6146,-128.7272,270.0,top
U2,136.6012,-142.5194,90.0,top
U3,138.303,-128.651,90.0,top
U4,125.3348,-120.3452,90.0,top
U5,125.3602,-127.9652,90.0,top
U6,150.397,-145.131,270.0,top
Y1,138.4437,-118.0968,0.0,top
